"nutrient","country","iso3","sex_id","age_id","sev_base","sev_high","sev_delta"
"Omega-3 fatty acids","Afghanistan","AFG",1,10,97.219367784485,97.219367784485,0
"Omega-3 fatty acids","Afghanistan","AFG",1,11,97.1606787714673,97.1606787714673,0
"Omega-3 fatty acids","Afghanistan","AFG",1,12,97.1773077956689,97.1773077956689,0
"Omega-3 fatty acids","Afghanistan","AFG",1,13,96.0705396013401,96.0705396013401,0
"Omega-3 fatty acids","Afghanistan","AFG",1,14,96.0447955241434,96.0447955241434,0
"Omega-3 fatty acids","Afghanistan","AFG",1,15,97.7991215959774,97.7991215959774,0
"Omega-3 fatty acids","Afghanistan","AFG",1,16,97.2844722061105,97.2844722061105,0
"Omega-3 fatty acids","Afghanistan","AFG",1,17,97.3419366489003,97.3419366489003,0
"Omega-3 fatty acids","Afghanistan","AFG",1,18,96.5747858226021,96.5747858226021,0
"Omega-3 fatty acids","Afghanistan","AFG",1,19,96.5783068619015,96.5783068619015,0
"Omega-3 fatty acids","Afghanistan","AFG",1,20,96.6972074176545,96.6972074176545,0
"Omega-3 fatty acids","Afghanistan","AFG",1,30,96.8313314757884,96.8313314757884,0
"Omega-3 fatty acids","Afghanistan","AFG",1,31,96.9191040056238,96.9191040056238,0
"Omega-3 fatty acids","Afghanistan","AFG",1,32,96.7946497349565,96.7946497349565,0
"Omega-3 fatty acids","Afghanistan","AFG",1,33,96.7946497349565,96.7946497349565,0
"Omega-3 fatty acids","Afghanistan","AFG",2,10,97.6866194430707,97.6866194430707,0
"Omega-3 fatty acids","Afghanistan","AFG",2,11,97.4670058548262,97.4670058548262,0
"Omega-3 fatty acids","Afghanistan","AFG",2,12,97.4273543200089,97.4273543200089,0
"Omega-3 fatty acids","Afghanistan","AFG",2,13,96.3695467267617,96.3695467267617,0
"Omega-3 fatty acids","Afghanistan","AFG",2,14,96.3022192766993,96.3022192766993,0
"Omega-3 fatty acids","Afghanistan","AFG",2,15,98.0006324532025,98.0006324532025,0
"Omega-3 fatty acids","Afghanistan","AFG",2,16,97.5470624228935,97.5470624228935,0
